State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity,Temp_Stress,Rain_Deviation,Yield_Class
Arunachal Pradesh,Namsai,2015,Sugarcane,Whole Year,31.0,,,700.0,,,22.58,20.965561643835617,2426.63,77.33424657534246,4.034438356164383,-133.97749999999996,0
Arunachal Pradesh,Namsai,2016,Sugarcane,Whole Year,40.0,,,980.0,,,24.5,20.953032786885245,2360.41,80.65579234972678,4.046967213114755,-200.19750000000022,0
Arunachal Pradesh,Namsai,2017,Sugarcane,Whole Year,40.0,,,980.0,,,24.5,21.07758904109589,2760.82,79.880301369863,3.922410958904109,200.2125000000001,0
Arunachal Pradesh,Namsai,2018,Sugarcane,Whole Year,40.0,,,1022.0,,,25.55,20.69509589041096,2058.73,79.16443835616438,4.304904109589039,-501.87750000000005,0
Arunachal Pradesh,Namsai,2019,Sugarcane,Whole Year,41.0,,,1043.0,,,25.44,20.973068493150684,2437.09,79.01032876712328,4.026931506849316,-123.51749999999993,0
Arunachal Pradesh,Namsai,2020,Sugarcane,Whole Year,41.0,,,1053.0,,,25.68,20.69969945355191,3270.09,80.47590163934426,4.300300546448089,709.4825000000001,0
Arunachal Pradesh,Namsai,2021,Sugarcane,Whole Year,41.0,,,1053.0,,,25.68,21.013369863013697,2104.27,78.12309589041097,3.986630136986303,-456.3375000000001,0
Arunachal Pradesh,Namsai,2022,Sugarcane,Whole Year,42.0,,,1079.0,,,25.69,20.542246575342467,3066.82,79.03038356164383,4.4577534246575325,506.2125000000001,0
Arunachal Pradesh,Papum pare,2015,Sugarcane,Whole Year,229.0,,,4648.0,,,20.3,18.01849315068493,2654.79,84.13446575342465,6.981506849315071,-90.80125000000044,0
Arunachal Pradesh,Papum pare,2016,Sugarcane,Whole Year,238.0,,,4928.0,,,20.71,18.436994535519126,2495.58,83.64379781420764,6.563005464480874,-250.01125000000047,0
Arunachal Pradesh,Papum pare,2017,Sugarcane,Whole Year,238.0,,,4985.0,,,20.95,18.31304109589041,3014.39,83.21720547945205,6.686958904109591,268.7987499999995,0
Arunachal Pradesh,Papum pare,2018,Sugarcane,Whole Year,238.0,,,5027.0,,,21.12,17.824931506849317,2420.32,83.82989041095891,7.1750684931506825,-325.27125000000024,0
Arunachal Pradesh,Papum pare,2019,Sugarcane,Whole Year,239.0,,,5048.0,,,21.12,17.88668493150685,2677.9700000000003,82.69871232876712,7.113315068493151,-67.62125000000015,0
Arunachal Pradesh,Papum pare,2020,Sugarcane,Whole Year,239.0,,,5058.0,,,21.16,17.805437158469946,3384.4,84.09300546448088,7.194562841530054,638.8087499999997,0
Arunachal Pradesh,Papum pare,2021,Sugarcane,Whole Year,239.0,,,5058.0,,,21.16,17.939013698630138,2342.92,82.78298630136986,7.060986301369862,-402.6712500000003,0
Arunachal Pradesh,Papum pare,2022,Sugarcane,Whole Year,241.0,,,5102.0,,,21.17,17.61249315068493,2974.36,83.0628493150685,7.38750684931507,228.76874999999973,0
Arunachal Pradesh,Shi yomi,2019,Sugarcane,Whole Year,14.0,,,312.0,,,22.29,12.531123287671232,2162.82,85.18271232876712,12.468876712328768,-362.7750000000001,0
Arunachal Pradesh,Shi yomi,2020,Sugarcane,Whole Year,14.0,,,312.0,,,22.29,12.389371584699454,3104.71,86.31306010928961,12.610628415300546,579.1149999999998,0
Arunachal Pradesh,Shi yomi,2021,Sugarcane,Whole Year,14.0,,,312.0,,,22.29,12.638246575342466,2133.8500000000004,85.284,12.361753424657534,-391.7449999999999,0
Arunachal Pradesh,Shi yomi,2022,Sugarcane,Whole Year,14.0,,,312.0,,,22.29,12.366136986301369,2701.0,83.97246575342466,12.633863013698631,175.40499999999975,0
Arunachal Pradesh,Siang,2015,Sugarcane,Whole Year,123.0,,,2015.0,,,16.38,16.075589041095892,2557.97,81.898,8.924410958904108,-200.36000000000013,0
Arunachal Pradesh,Siang,2016,Sugarcane,Whole Year,132.0,,,2295.0,,,17.39,16.527923497267757,2603.29,81.40961748633879,8.472076502732243,-155.03999999999996,0
Arunachal Pradesh,Siang,2017,Sugarcane,Whole Year,132.0,,,2355.0,,,17.84,16.65254794520548,2845.59,80.73421917808218,8.34745205479452,87.26000000000022,0
Arunachal Pradesh,Siang,2018,Sugarcane,Whole Year,132.0,,,2397.0,,,18.16,16.156684931506852,2102.06,80.50350684931506,8.843315068493148,-656.27,0
Arunachal Pradesh,Siang,2019,Sugarcane,Whole Year,133.0,,,2418.0,,,18.18,16.270630136986302,2461.32,80.93008219178083,8.729369863013698,-297.00999999999976,0
Arunachal Pradesh,Siang,2020,Sugarcane,Whole Year,133.0,,,2428.0,,,18.26,16.057377049180328,3865.000000000001,82.14467213114754,8.942622950819672,1106.670000000001,0
Arunachal Pradesh,Siang,2021,Sugarcane,Whole Year,133.0,,,2428.0,,,18.26,16.334465753424656,2413.79,80.77561643835617,8.665534246575344,-344.53999999999996,0
Arunachal Pradesh,Siang,2022,Sugarcane,Whole Year,134.0,,,2447.0,,,18.26,16.01254794520548,3217.62,80.38991780821918,8.98745205479452,459.28999999999996,0
Arunachal Pradesh,Upper siang,2015,Sugarcane,Whole Year,191.0,,,3157.0,,,16.53,16.075589041095892,2557.97,81.898,8.924410958904108,-200.36000000000013,0
Arunachal Pradesh,Upper siang,2016,Sugarcane,Whole Year,200.0,,,3437.0,,,17.19,16.527923497267757,2603.29,81.40961748633879,8.472076502732243,-155.03999999999996,0
Arunachal Pradesh,Upper siang,2017,Sugarcane,Whole Year,200.0,,,3544.0,,,17.72,16.65254794520548,2845.59,80.73421917808218,8.34745205479452,87.26000000000022,0
Arunachal Pradesh,Upper siang,2018,Sugarcane,Whole Year,200.0,,,3586.0,,,17.93,16.156684931506852,2102.06,80.50350684931506,8.843315068493148,-656.27,0
